Work Item Type,Title,Assigned To,Created By,Priority,State,Created Date,Changed Date,Description
Bug,(SP25): 400 Status Code Error When Printing Cash Receipt Report,Maha Muhammed,Mohamed Said,2,New,2025-03-11T13:31:00Z,2025-03-11T13:31:00Z,"h4. *Title:*

400 Status Code Error Occurs When Printing Cash Receipt Report Despite Successful Download

h4. *Description:*

When a user selects the *From Date* and *To Date* in the *Cash Receipt Report* screen and clicks the *Print* button  a *400 Bad Request error* appears in the network console. However  the report is still downloaded successfully. This error may indicate an *incorrect API request* or *unnecessary validation issues*.

h4. *Preconditions:*

* The user is logged into the ERP system.
* The *Cash Receipt Report* module is accessible.

h4. *Steps to Reproduce:*

# Navigate to *Finance Module > Reports > Cash Receipt Report*.
# Select a valid *From Date* and *To Date* in the date filters.
# Click the *Print* button.
# Observe the network logs in the browser's developer console (*F12 > Network tab*).

h4. *Expected Result:*

* The *report should be printed/downloaded successfully* without any *error messages*.
* No *400 status code* should be logged in the network console.
* If there is an issue with the request  a *clear validation or error message* should be displayed to the user.

h4. *Actual Result:*

* The report is *successfully downloaded*.
* However  the network console logs a *400 Bad Request error*.
* No *informational message* is shown to the user regarding the error.

h4. *Suggested Fix:*

* Investigate *why the request is returning a 400 error* even though the report is being downloaded.
* Ensure that the *API request for printing* is correctly formatted and *does not contain invalid parameters*.
* If the request is expected to fail under certain conditions  show a *clear validation message* to the user instead of silently logging an error.

h4. *Severity:*

? *Medium* – The report is still downloaded  but the error might indicate deeper API or validation issues that could cause failures in the future."
Bug,(SP25): Cash Receipt Report Displays Data Without Any Filter Selection,Maha Muhammed,Mohamed Said,2,New,2025-03-11T13:25:00Z,2025-03-11T13:25:00Z,"h4. *Title:*

Cash Receipt Report Automatically Displays Data Upon Navigation Without Applying Any Filters

h4. *Description:*

When navigating to the *Cash Receipt Report* module  the report automatically displays and loads data *without requiring any user-selected filters*. This can lead to *incorrect or unintended data being displayed*  potentially exposing unnecessary financial information.

h4. *Preconditions:*

* The user is logged into the ERP system.
* The *Cash Receipt Report* module is accessible.

h4. *Steps to Reproduce:*

# Navigate to *Finance Module > Reports > Cash Receipt Report*.
# Observe that the report *immediately loads and displays data* without requiring any filter selection.

h4. *Expected Result:*

* The report should *not load or display any data* unless the user selects the *required filters (e.g.  date range  payment method  account  etc.)*.
* Instead  an *informational message* should appear  prompting the user to *apply filters before displaying data*.

h4. *Actual Result:*

* The report *automatically displays data* upon navigation *without any user input*.
* This behavior may lead to *unintended data visibility issues* and can *impact performance* due to unnecessary data loading.

h4. *Suggested Fix:*

* Prevent the report from automatically displaying data upon navigation.
* Implement a *filter requirement*  ensuring that users *must select at least one filter* before retrieving report data.
* Display an *informational message*: _""Please select filters before generating the report.""_

h4. *Severity:*

? *Medium* – Could lead to unnecessary data exposure and performance inefficiencies."
Bug,(SP25): Cash Receipt Report Uses a Single Date Input Field for From and To Dates  Causing Inconsistencies,Maha Muhammed,Mohamed Said,2,New,2025-03-11T13:18:00Z,2025-03-11T13:18:00Z,"h4. *Title:*

Cash Receipt Report Uses a Single Date Input Field for ""From"" and ""To"" Dates  Causing Inconsistencies

h4. *Description:*

The *Cash Receipt Report* screen provides only *one date input field with a single calendar* to select both the *From Date* and *To Date*. This implementation causes inconsistencies in date selection logic and triggers *unwanted required validation errors*  even when a valid date is selected.

h4. *Preconditions:*

* The user is logged into the ERP system.
* The *Cash Receipt Report* screen is accessible.

h4. *Steps to Reproduce:*

# Navigate to *Finance Module > Reports > Cash Receipt Report*.
# Open the date input field to select a date range.
# Select a *From Date* and observe that the same input is used for the *To Date*.
# Attempt to generate the report.
# Notice that an *unnecessary required validation message appears*  even though a valid date has been selected.

h4. *Expected Result:*

* There should be *two separate date fields* for *From Date* and *To Date*.
* The system should correctly validate the date range without displaying *unnecessary required validation messages*.
* The report should be generated successfully when valid dates are selected.

h4. *Actual Result:*

* The system provides *only one date input field* for both *From* and *To* dates.
* The user encounters *inconsistent behavior* when selecting date ranges.
* A *required validation error* is displayed *incorrectly*.

h4. *Suggested Fix:*

* Implement *two separate date input fields* for selecting *From Date* and *To Date*.
* Ensure that the validation logic *properly checks the selected date range*.
* Remove unnecessary *required validation errors* that occur even when valid dates are selected.

h4. *Severity:*

? *Medium* – Causes usability issues and may prevent users from generating reports properly."
Bug,(Sp25) Cash Payment Report: 400 Status Code Error in Network Log When Printing Report,Maha Muhammed,Mohamed Said,2,New,2025-03-11T13:08:00Z,2025-03-11T13:08:00Z,"h4. *Title:*

400 Status Code Error in Network Log When Printing Report

h4. *Description:*

When a user fills in all the required fields  clicks the *View* button  and successfully downloads the report  the system *throws a 400 status code error in the network log* upon clicking the *Print* button. Despite the report being downloaded  no *informational message* is displayed to the user regarding the error.

h4. *Preconditions:*

* The user is logged into the ERP system.
* The relevant report module is accessible.
* Required fields are correctly filled.

h4. *Steps to Reproduce:*

# Navigate to the *report module* in the system.
# Fill in all the *required fields* with valid data.
# Click the *View* button and ensure the report is downloaded successfully.
# Click the *Print* button.
# Observe that the *report is downloaded*  but a *400 status code error appears in the network log*.

h4. *Expected Result:*

* The system should *not trigger a 400 status code error* in the network.
* If there is an issue with the request  a *clear informational message* should be displayed to the user.
* The *print functionality* should work without generating unnecessary errors.

h4. *Actual Result:*

* The report downloads successfully.
* A *400 status code error* is recorded in the *network log*.
* No *informational message* is displayed to the user.

h4. *Suggested Fix:*

* Investigate the *root cause* of the 400 status code error in the API request.
* Ensure that the print request is properly formatted before sending it.
* Display a *clear error message* if there is an issue instead of logging it silently.
* If the error is *non-impactful*  handle it *gracefully* in the system to avoid misleading logs.

h4. *Severity:*

? *Medium* – Functionality is working  but the error could indicate an underlying issue."
Bug,(Sp25): Cash Payment Report Uses a Single Date Input for From and To Dates  Causing Inconsistencies and Validation Issues,Maha Muhammed,Mohamed Said,2,New,2025-03-11T13:00:00Z,2025-03-11T13:00:00Z,"h4. *Title:*

Cash Payment Report Uses a Single Date Input for ""From"" and ""To"" Dates  Causing Inconsistencies and Validation Issues

h4. *Description:*

The *Cash Payment Report* screen allows users to filter reports using a *date range*; however  it only provides a *single date input field with one calendar* to select both the *""From"" and ""To"" dates*. This implementation leads to *inconsistencies* in user input and causes the system to display *unwanted required validation messages*  making it difficult to generate reports correctly.

h4. *Preconditions:*

* The user is logged into the ERP system.
* The *Cash Payment Report* screen is accessible.

h4. *Steps to Reproduce:*

# Navigate to *Finance App > Reports > Cash Payment Report*.
# Locate the *date input field* for selecting the date range.
# Click the *calendar icon* and select a date.
# Observe that the same *single date input field is used* for both *""From"" and ""To""* dates.
# Try to generate the report  and observe the *validation messages*.

h4. *Expected Result:*

* The report should have *two separate date input fields*:
** *""From Date""*: Start of the date range.
** *""To Date""*: End of the date range.
* Users should be able to *select the date range correctly* without confusion.
* The system should *not display unnecessary validation errors*.

h4. *Actual Result:*

* A *single date input field* is used for both ""From"" and ""To"" dates.
* The system displays *inconsistent required validation messages*.
* Users *cannot properly define a date range*  leading to *incorrect report filtering*.

h4. *Suggested Fix:*

* Replace the *single date input field* with *two separate date pickers* for ""From"" and ""To"" dates.
* Ensure the validation logic correctly checks whether both dates are selected.
* Prevent *invalid date ranges* (e.g.  ""To Date"" should not be earlier than ""From Date"").

h4. *Severity:*

? *High* – Affects usability and accuracy of financial reports."
Bug,(Sp25)Cash Payment Report: Incorrect Required Validation Message When Selecting a Date,Maha Muhammed,Mohamed Said,2,New,2025-03-11T12:50:00Z,2025-03-11T12:50:00Z,"h4. *Title:*

Validation Message Incorrectly Displays After Selecting a Date from the Calendar in [Cash Payment Report|https://ibrahimmohamed.microtecdev.com:2050/finance/reports/cash-payment-report]

h4. *Description:*

When the user selects a *day* from the *calendar widget* and clicks once  the selected date is correctly *inputted in the label*  but the system *still displays a required validation message* incorrectly. However  when the user *clicks the same date twice*  the validation message does *not* appear unnecessarily. This behavior causes *user confusion* as the field appears valid but is still flagged as required.

h4. *Preconditions:*

* The user is logged into the ERP system.
* A date input field with a *calendar widget* is available.

h4. *Steps to Reproduce:*

# Navigate to thein [Cash Payment Report|https://ibrahimmohamed.microtecdev.com:2050/finance/reports/cash-payment-report]
# Click the calendar  *date input field* to open the *date picker*.
# Select *any day* and click it *once*.
# Observe that the *date is displayed in the field*  but a required validation message appears.
# Click the same date *twice*.
# Observe that the validation message disappears.

h4. *Expected Result:*

* *After a single click*  the system should recognize the selected date and *not display the required validation message*.
* The validation message should *only* appear if the user attempts to submit the form *without selecting a date*.

h4. *Actual Result:*

* After *one click*  the date is set correctly  but the required validation message *is incorrectly displayed*.
* After *two clicks*  the validation message *disappears*  even though the selection was already valid after the first click.

h4. *Suggested Fix:*

* Ensure the *validation check* properly detects that a date is selected *after one click*.
* Remove any *unnecessary validation triggers* when the user selects a date.
* Test the date picker behavior to ensure *consistent input handling*.

h4. *Severity:*

? *Medium* – Causes *user confusion* but does not block form submission."
Bug,(Sp25): Printing Cash Payment Receipt Without Input Data Returns a 400 Error Without Informational Message,Maha Muhammed,Mohamed Said,2,New,2025-03-11T12:35:00Z,2025-03-11T12:35:00Z,"h4. *Title:*

Printing Cash Payment Receipt Without Input Data Returns a 400 Error Without Informational Message

h4. *Description:*

When the user clicks the *Print* button on the *Cash Payment Receipt* screen *without selecting or inputting any data*  the system triggers a *400 Bad Request error* in the network. Additionally  the API request *incorrectly includes a* {{payment method}} *query parameter*  even though no valid input was provided. The system does not display an *informational message* to inform the user about the missing required data.

h4. *Preconditions:*

* The user is logged into the ERP system with appropriate access.
* The *Cash Payment Receipt* module is accessible.

h4. *Steps to Reproduce:*

# Navigate to *Finance Module ? Transactions ? Cash Payment Receipt*.
# Do *not* select or input any required data (e.g.  Payment Details  Amount  Payment Method).
# Click the *Print* button.
# Observe the system behavior and network logs.

h4. *Expected Result:*

* The system should *not trigger a 400 error*.
* An *informational message* should be displayed:
_""Please enter the required details before printing the payment receipt.""_
* The *API request should not include invalid query parameters (e.g. * {{payment method}}*)* when no input is provided.

h4. *Actual Result:*

* A *400 Bad Request* error is triggered in the network log.
* The request includes an incorrect {{payment method}} parameter despite no input.
* No validation message is displayed  leaving the user without guidance.

h4. *Suggested Fix:*

* *Implement validation* to prevent the print action if required fields are empty.
* Display a *clear informational message* before attempting to send the request.
* Ensure the API request *does not include invalid parameters* when no data is provided.

h4. *Severity:*

?? *High* – The issue affects core functionality  causing errors and a poor user experience."
Bug,(Sp25): Payment Reconciliation Summary Prints Empty Report Without Required Filters,Maha Muhammed,Mohamed Said,2,New,2025-03-11T12:23:00Z,2025-03-11T12:23:00Z,"h4. *Title:*

Payment Reconciliation Summary Report Prints Empty Report When No Filters Are Selected

h4. *Description:*

When the user clicks the *Print Summary* button in the *Payment Reconciliation Report* screen *without selecting any required filters*  the system still generates an empty report instead of preventing the action. The expected behavior is for the system to *display an informational message* instructing the user to select the necessary filters before proceeding.

h4. *Preconditions:*

* The user is logged into the ERP system with appropriate access.
* The *Payment Reconciliation Report* module is accessible.

h4. *Steps to Reproduce:*

# Navigate to *Finance Module ? Reports ? Payment Reconciliation Report*.
# Do *not* select any required filter data (e.g.  Customer  Payment Date  Invoice).
# Click the *Print Summary* button.
# Observe that the system generates an *empty report* instead of providing feedback.

h4. *Expected Result:*

* The system should *not generate an empty report* when required filters are missing.
* An *informational message* should be displayed:
_""Please select the required filters before printing the summary report.""_

h4. *Actual Result:*

* The system generates and prints an *empty summary report* without any data.
* No validation message is displayed to guide the user.

h4. *Suggested Fix:*

* Implement *validation before printing*  preventing the action if required filters are missing.
* Display an *informational message* when the user clicks *Print Summary* without selecting filters.
* Ensure the backend does not process empty or invalid summary report requests.

h4. *Severity:*

?? *Medium* – This issue affects report accuracy and user experience but does not cause system crashes."
Bug,(Sp25): Payment Reconciliation Report Prints Empty Report When No Filters Are Selected,Maha Muhammed,Mohamed Said,2,New,2025-03-11T12:21:00Z,2025-03-11T12:21:00Z,"h4. *Title:*

Payment Reconciliation Report Prints Empty Report When No Filters Are Selected

h4. *Description:*

When the user clicks the *Print* button in the *Payment Reconciliation Report* screen *without selecting any required filters*  the system still generates an empty report instead of preventing the action. The expected behavior is for the system to *display an informational message* instructing the user to select the necessary filters before proceeding.

h4. *Preconditions:*

* The user is logged into the ERP system with appropriate access.
* The Payment Reconciliation Report module is accessible.

h4. *Steps to Reproduce:*

# Navigate to *Finance Module ? Reports ? Payment Reconciliation Report*.
# Do *not* select any required filter data (e.g.  Customer  Payment Date  Invoice).
# Click the *Print* button.
# Observe that the system generates an *empty report* instead of providing feedback.

h4. *Expected Result:*

* The system should *not generate an empty report*.
* An *informational message* should be displayed:
_""Please select the required filters before printing the report.""_

h4. *Actual Result:*

* The system generates and prints an *empty report* without any data.
* No validation message is shown to guide the user.

h4. *Suggested Fix:*

* Implement *validation before printing*  preventing the action if filters are missing.
* Display an *informational message* when the user clicks Print without selecting required filters.
* Ensure the backend does not process empty or invalid report requests.

h4. *Severity:*

?? *Medium* – This issue affects report accuracy and user experience but does not cause system crashes."
Bug,(Sp25): Payment Reconciliation History Report Sends Invalid Request When No Customer or Invoice is Selected,Maha Muhammed,Mohamed Said,2,New,2025-03-11T12:12:00Z,2025-03-11T12:12:00Z,"h4. *Title:*

Payment Reconciliation History Report Sends Invalid Request When No Customer or Invoice is Selected

h4. *Description:*

When the user clicks the *View* button in the *Payment Reconciliation History Report* screen *without selecting any customer or invoice*  the system *unexpectedly sends a request* with an invalid or unintended *customer ID* instead of preventing the request. This behavior may lead to incorrect data retrieval or API failures. The expected behavior is for the system to *prevent the request* and display an *informational message* prompting the user to select a valid customer or invoice before proceeding.

h4. *Preconditions:*

* The user is logged into the ERP system with the necessary permissions.
* The Payment Reconciliation History Report screen is accessible.

h4. *Steps to Reproduce:*

# Navigate to *Finance Module ? Reports ? Payment Reconciliation History Report*.
# Do *not* select any *customer or invoice*.
# Click the *View* button.
# Open *Developer Tools (F12) ? Network Tab*.
# Observe that the system *sends an API request with an unintended or incorrect customer ID*.

h4. *Expected Result:*

* The system should *not send any API request* if no customer or invoice is selected.
* An *informational message* should be displayed:
_""Please select a customer or invoice before generating the report.""_

h4. *Actual Result:*

* The system *sends a request with an unintended customer ID*  leading to incorrect results or API failures.
* No validation message is displayed to the user."
