Work Item Type,Title,Assigned To,Created By,Priority,State,Created Date,Changed Date,Description
Bug,(SP25): 400 Status Code Error When Printing Cash Receipt Report,Maha.muhammed,Mohamed Said,2,To Do,2025-03-11T11:31:00.000Z,2025-03-11T11:32:00.000Z,"### Description
__Title:*
400 Status Code Error Occurs When Printing Cash Receipt Report Despite Successful Download
__Description:*
When a user selects the _From Date_ and _To Date_ in the _Cash Receipt Report_ screen and clicks the _Print_ button, a _400 Bad Request error_ appears in the network console. However, the report is still downloaded successfully. This error may indicate an _incorrect API request_ or _unnecessary validation issues_.
__Preconditions:*
* The user is logged into the ERP system.
_ The _Cash Receipt Report* module is accessible.
__Steps to Reproduce:*
- Navigate to _Finance Module > Reports > Cash Receipt Report_.
- Select a valid _From Date_ and _To Date_ in the date filters.
- Click the _Print_ button.
- Observe the network logs in the browser's developer console (_F12 > Network tab_).
__Expected Result:*
_ The _report should be printed/downloaded successfully_ without any _error messages*.
_ No _400 status code* should be logged in the network console.
_ If there is an issue with the request, a _clear validation or error message* should be displayed to the user.
__Actual Result:*
_ The report is _successfully downloaded*.
_ However, the network console logs a _400 Bad Request error*.
_ No _informational message* is shown to the user regarding the error.
__Suggested Fix:*
_ Investigate _why the request is returning a 400 error* even though the report is being downloaded.
_ Ensure that the _API request for printing_ is correctly formatted and _does not contain invalid parameters*.
_ If the request is expected to fail under certain conditions, show a _clear validation message* to the user instead of silently logging an error.
__Severity:*
? _Medium_ ? The report is still downloaded, but the error might indicate deeper API or validation issues that could cause failures in the future.

### Environment
[semob83188@maonyn.com|mailto:semob83188@maonyn.com]
e01144778899A$*
[https://ibrahimmohamed.microtecdev.com:2050/erp/|https://ibrahimmohamed.microtecdev.com:2050/erp/]

Operating System: Windows 11
Browser: Chrome, Edge

### Original Issue
[View in Jira](https://microtec.atlassian.net/browse/ME-4340)

### Attachments
No Attachments"
Bug,(SP25): Cash Receipt Report Displays Data Without Any Filter Selection,Maha.muhammed,Mohamed Said,2,To Do,2025-03-11T11:25:00.000Z,2025-03-11T11:26:00.000Z,"### Description
__Title:*
Cash Receipt Report Automatically Displays Data Upon Navigation Without Applying Any Filters
__Description:*
When navigating to the _Cash Receipt Report_ module, the report automatically displays and loads data _without requiring any user-selected filters_. This can lead to _incorrect or unintended data being displayed_, potentially exposing unnecessary financial information.
__Preconditions:*
* The user is logged into the ERP system.
_ The _Cash Receipt Report* module is accessible.
__Steps to Reproduce:*
- Navigate to _Finance Module > Reports > Cash Receipt Report_.
- Observe that the report _immediately loads and displays data_ without requiring any filter selection.
__Expected Result:*
_ The report should _not load or display any data_ unless the user selects the _required filters (e.g., date range, payment method, account, etc.)*.
_ Instead, an _informational message_ should appear, prompting the user to _apply filters before displaying data*.
__Actual Result:*
_ The report _automatically displays data_ upon navigation _without any user input*.
_ This behavior may lead to _unintended data visibility issues_ and can _impact performance* due to unnecessary data loading.
__Suggested Fix:*
* Prevent the report from automatically displaying data upon navigation.
_ Implement a _filter requirement_, ensuring that users _must select at least one filter* before retrieving report data.
_ Display an _informational message*: _""Please select filters before generating the report.""_
__Severity:*
? _Medium_ ? Could lead to unnecessary data exposure and performance inefficiencies.

### Environment
[semob83188@maonyn.com|mailto:semob83188@maonyn.com]
e01144778899A$*
[https://ibrahimmohamed.microtecdev.com:2050/erp/|https://ibrahimmohamed.microtecdev.com:2050/erp/]

Operating System: Windows 11
Browser: Chrome, Edge

### Original Issue
[View in Jira](https://microtec.atlassian.net/browse/ME-4339)

### Attachments
No Attachments"
Bug,"(SP25): Cash Receipt Report Uses a Single Date Input Field for ""From"" and ""To"" Dates, Causing Inconsistencies",Maha.muhammed,Mohamed Said,2,To Do,2025-03-11T11:18:00.000Z,2025-03-11T11:23:00.000Z,"### Description
__Title:*
Cash Receipt Report Uses a Single Date Input Field for ""From"" and ""To"" Dates, Causing Inconsistencies
__Description:*
The _Cash Receipt Report_ screen provides only _one date input field with a single calendar_ to select both the _From Date_ and _To Date_. This implementation causes inconsistencies in date selection logic and triggers _unwanted required validation errors_, even when a valid date is selected.
__Preconditions:*
* The user is logged into the ERP system.
_ The _Cash Receipt Report* screen is accessible.
__Steps to Reproduce:*
- Navigate to _Finance Module > Reports > Cash Receipt Report_.
- Open the date input field to select a date range.
- Select a _From Date_ and observe that the same input is used for the _To Date_.
- Attempt to generate the report.
- Notice that an _unnecessary required validation message appears_, even though a valid date has been selected.
__Expected Result:*
_ There should be _two separate date fields_ for _From Date_ and _To Date*.
_ The system should correctly validate the date range without displaying _unnecessary required validation messages*.
* The report should be generated successfully when valid dates are selected.
__Actual Result:*
_ The system provides _only one date input field_ for both _From_ and _To* dates.
_ The user encounters _inconsistent behavior* when selecting date ranges.
_ A _required validation error_ is displayed _incorrectly*.
__Suggested Fix:*
_ Implement _two separate date input fields_ for selecting _From Date_ and _To Date*.
_ Ensure that the validation logic _properly checks the selected date range*.
_ Remove unnecessary _required validation errors* that occur even when valid dates are selected.
__Severity:*
? _Medium_ ? Causes usability issues and may prevent users from generating reports properly.

### Environment
[semob83188@maonyn.com|mailto:semob83188@maonyn.com]
e01144778899A$*
[https://ibrahimmohamed.microtecdev.com:2050/erp/|https://ibrahimmohamed.microtecdev.com:2050/erp/]

Operating System: Windows 11
Browser: Chrome, Edge

### Original Issue
[View in Jira](https://microtec.atlassian.net/browse/ME-4337)

### Attachments
No Attachments"
Bug,(Sp25) Cash Payment Report: 400 Status Code Error in Network Log When Printing Report,Maha.muhammed,Mohamed Said,2,To Do,2025-03-11T11:08:00.000Z,2025-03-11T11:08:00.000Z,"### Description
__Title:*
400 Status Code Error in Network Log When Printing Report
__Description:*
When a user fills in all the required fields, clicks the _View_ button, and successfully downloads the report, the system _throws a 400 status code error in the network log_ upon clicking the _Print_ button. Despite the report being downloaded, no _informational message_ is displayed to the user regarding the error.
__Preconditions:*
* The user is logged into the ERP system.
* The relevant report module is accessible.
* Required fields are correctly filled.
__Steps to Reproduce:*
- Navigate to the _report module_ in the system.
- Fill in all the _required fields_ with valid data.
- Click the _View_ button and ensure the report is downloaded successfully.
- Click the _Print_ button.
- Observe that the _report is downloaded_, but a _400 status code error appears in the network log_.
__Expected Result:*
_ The system should _not trigger a 400 status code error* in the network.
_ If there is an issue with the request, a _clear informational message* should be displayed to the user.
_ The _print functionality* should work without generating unnecessary errors.
__Actual Result:*
* The report downloads successfully.
_ A _400 status code error_ is recorded in the _network log*.
_ No _informational message* is displayed to the user.
__Suggested Fix:*
_ Investigate the _root cause* of the 400 status code error in the API request.
* Ensure that the print request is properly formatted before sending it.
_ Display a _clear error message* if there is an issue instead of logging it silently.
_ If the error is _non-impactful_, handle it _gracefully* in the system to avoid misleading logs.
__Severity:*
? _Medium_ ? Functionality is working, but the error could indicate an underlying issue.

### Environment
[semob83188@maonyn.com|mailto:semob83188@maonyn.com]
e01144778899A$*
[https://ibrahimmohamed.microtecdev.com:2050/erp/|https://ibrahimmohamed.microtecdev.com:2050/erp/]

Operating System: Windows 11
Browser: Chrome, Edge

### Original Issue
[View in Jira](https://microtec.atlassian.net/browse/ME-4336)

### Attachments
No Attachments"
Bug,"(Sp25): Cash Payment Report Uses a Single Date Input for ""From"" and ""To"" Dates, Causing Inconsistencies and Validation Issues",Maha.muhammed,Mohamed Said,3,To Do,2025-03-11T11:00:00.000Z,2025-03-11T11:01:00.000Z,"### Description
__Title:*
Cash Payment Report Uses a Single Date Input for ""From"" and ""To"" Dates, Causing Inconsistencies and Validation Issues
__Description:*
The _Cash Payment Report_ screen allows users to filter reports using a _date range_; however, it only provides a _single date input field with one calendar_ to select both the _""From"" and ""To"" dates_. This implementation leads to _inconsistencies_ in user input and causes the system to display _unwanted required validation messages_, making it difficult to generate reports correctly.
__Preconditions:*
* The user is logged into the ERP system.
_ The _Cash Payment Report* screen is accessible.
__Steps to Reproduce:*
- Navigate to _Finance App > Reports > Cash Payment Report_.
- Locate the _date input field_ for selecting the date range.
- Click the _calendar icon_ and select a date.
- Observe that the same _single date input field is used_ for both _""From"" and ""To""_ dates.
- Try to generate the report, and observe the _validation messages_.
__Expected Result:*
_ The report should have _two separate date input fields*:
__ _""From Date""_: Start of the date range.
__ _""To Date""_: End of the date range.
_ Users should be able to _select the date range correctly* without confusion.
_ The system should _not display unnecessary validation errors*.
__Actual Result:*
_ A _single date input field* is used for both ""From"" and ""To"" dates.
_ The system displays _inconsistent required validation messages*.
_ Users _cannot properly define a date range_, leading to _incorrect report filtering*.
__Suggested Fix:*
_ Replace the _single date input field_ with _two separate date pickers* for ""From"" and ""To"" dates.
* Ensure the validation logic correctly checks whether both dates are selected.
_ Prevent _invalid date ranges* (e.g., ""To Date"" should not be earlier than ""From Date"").
__Severity:*
? _High_ ? Affects usability and accuracy of financial reports.

### Environment
[semob83188@maonyn.com|mailto:semob83188@maonyn.com]
e01144778899A$*
[https://ibrahimmohamed.microtecdev.com:2050/erp/|https://ibrahimmohamed.microtecdev.com:2050/erp/]

Operating System: Windows 11
Browser: Chrome, Edge

### Original Issue
[View in Jira](https://microtec.atlassian.net/browse/ME-4335)

### Attachments
No Attachments"
Bug,(Sp25)Cash Payment Report: Incorrect Required Validation Message When Selecting a Date,Maha.muhammed,Mohamed Said,2,To Do,2025-03-11T10:50:00.000Z,2025-03-11T10:54:00.000Z,"### Description
__Title:*
Validation Message Incorrectly Displays After Selecting a Date from the Calendar in [Cash Payment Report|https://ibrahimmohamed.microtecdev.com:2050/finance/reports/cash-payment-report]
__Description:*
When the user selects a _day_ from the _calendar widget_ and clicks once, the selected date is correctly _inputted in the label_, but the system _still displays a required validation message_ incorrectly. However, when the user _clicks the same date twice_, the validation message does _not_ appear unnecessarily. This behavior causes _user confusion_ as the field appears valid but is still flagged as required.
__Preconditions:*
* The user is logged into the ERP system.
_ A date input field with a _calendar widget* is available.
__Steps to Reproduce:*
- Navigate to thein [Cash Payment Report|https://ibrahimmohamed.microtecdev.com:2050/finance/reports/cash-payment-report]
- Click the calendar  _date input field_ to open the _date picker_.
- Select _any day_ and click it _once_.
- Observe that the _date is displayed in the field_, but a required validation message appears.
- Click the same date _twice_.
- Observe that the validation message disappears.
__Expected Result:*
_ _After a single click_, the system should recognize the selected date and _not display the required validation message*.
_ The validation message should _only_ appear if the user attempts to submit the form _without selecting a date*.
__Actual Result:*
_ After _one click_, the date is set correctly, but the required validation message _is incorrectly displayed*.
_ After _two clicks_, the validation message _disappears*, even though the selection was already valid after the first click.
__Suggested Fix:*
_ Ensure the _validation check_ properly detects that a date is selected _after one click*.
_ Remove any _unnecessary validation triggers* when the user selects a date.
_ Test the date picker behavior to ensure _consistent input handling*.
__Severity:*
? _Medium_ ? Causes _user confusion_ but does not block form submission.

### Environment
[semob83188@maonyn.com|mailto:semob83188@maonyn.com]
e01144778899A$*
[https://ibrahimmohamed.microtecdev.com:2050/erp/|https://ibrahimmohamed.microtecdev.com:2050/erp/]

Operating System: Windows 11
Browser: Chrome, Edge

### Original Issue
[View in Jira](https://microtec.atlassian.net/browse/ME-4334)

### Attachments
No Attachments"
Bug,(Sp25): Printing Cash Payment Receipt Without Input Data Returns a 400 Error Without Informational Message,Maha.muhammed,Mohamed Said,3,To Do,2025-03-11T10:35:00.000Z,2025-03-11T10:37:00.000Z,"### Description
__Title:*
Printing Cash Payment Receipt Without Input Data Returns a 400 Error Without Informational Message
__Description:*
When the user clicks the _Print_ button on the _Cash Payment Receipt_ screen _without selecting or inputting any data_, the system triggers a _400 Bad Request error_ in the network. Additionally, the API request _incorrectly includes a_ {{payment method}} _query parameter_, even though no valid input was provided. The system does not display an _informational message_ to inform the user about the missing required data.
__Preconditions:*
* The user is logged into the ERP system with appropriate access.
_ The _Cash Payment Receipt* module is accessible.
__Steps to Reproduce:*
- Navigate to _Finance Module ? Transactions ? Cash Payment Receipt_.
- Do _not_ select or input any required data (e.g., Payment Details, Amount, Payment Method).
- Click the _Print_ button.
- Observe the system behavior and network logs.
__Expected Result:*
_ The system should _not trigger a 400 error*.
_ An _informational message* should be displayed:
_""Please enter the required details before printing the payment receipt.""_
_ The _API request should not include invalid query parameters (e.g.,_ {{payment method}}_)* when no input is provided.
__Actual Result:*
_ A _400 Bad Request* error is triggered in the network log.
* The request includes an incorrect {{payment method}} parameter despite no input.
* No validation message is displayed, leaving the user without guidance.
__Suggested Fix:*
_ _Implement validation* to prevent the print action if required fields are empty.
_ Display a _clear informational message* before attempting to send the request.
_ Ensure the API request _does not include invalid parameters* when no data is provided.
__Severity:*
?? _High_ ? The issue affects core functionality, causing errors and a poor user experience.

### Environment
[semob83188@maonyn.com|mailto:semob83188@maonyn.com]
e01144778899A$*
[https://ibrahimmohamed.microtecdev.com:2050/erp/|https://ibrahimmohamed.microtecdev.com:2050/erp/]

Operating System: Windows 11
Browser: Chrome, Edge

### Original Issue
[View in Jira](https://microtec.atlassian.net/browse/ME-4332)

### Attachments
No Attachments"
Bug,(Sp25): Payment Reconciliation Summary Prints Empty Report Without Required Filters,Maha.muhammed,Mohamed Said,2,To Do,2025-03-11T10:23:00.000Z,2025-03-11T10:26:00.000Z,"### Description
__Title:*
Payment Reconciliation Summary Report Prints Empty Report When No Filters Are Selected
__Description:*
When the user clicks the _Print Summary_ button in the _Payment Reconciliation Report_ screen _without selecting any required filters_, the system still generates an empty report instead of preventing the action. The expected behavior is for the system to _display an informational message_ instructing the user to select the necessary filters before proceeding.
__Preconditions:*
* The user is logged into the ERP system with appropriate access.
_ The _Payment Reconciliation Report* module is accessible.
__Steps to Reproduce:*
- Navigate to _Finance Module ? Reports ? Payment Reconciliation Report_.
- Do _not_ select any required filter data (e.g., Customer, Payment Date, Invoice).
- Click the _Print Summary_ button.
- Observe that the system generates an _empty report_ instead of providing feedback.
__Expected Result:*
_ The system should _not generate an empty report* when required filters are missing.
_ An _informational message* should be displayed:
_""Please select the required filters before printing the summary report.""_
__Actual Result:*
_ The system generates and prints an _empty summary report* without any data.
* No validation message is displayed to guide the user.
__Suggested Fix:*
_ Implement _validation before printing*, preventing the action if required filters are missing.
_ Display an _informational message_ when the user clicks _Print Summary* without selecting filters.
* Ensure the backend does not process empty or invalid summary report requests.
__Severity:*
?? _Medium_ ? This issue affects report accuracy and user experience but does not cause system crashes.

### Environment
[semob83188@maonyn.com|mailto:semob83188@maonyn.com]
e01144778899A$*
[https://ibrahimmohamed.microtecdev.com:2050/erp/|https://ibrahimmohamed.microtecdev.com:2050/erp/]

Operating System: Windows 11
Browser: Chrome, Edge

### Original Issue
[View in Jira](https://microtec.atlassian.net/browse/ME-4331)

### Attachments
No Attachments"
Bug,(Sp25): Payment Reconciliation Report Prints Empty Report When No Filters Are Selected,Maha.muhammed,Mohamed Said,2,To Do,2025-03-11T10:21:00.000Z,2025-03-11T10:26:00.000Z,"### Description
__Title:*
Payment Reconciliation Report Prints Empty Report When No Filters Are Selected
__Description:*
When the user clicks the _Print_ button in the _Payment Reconciliation Report_ screen _without selecting any required filters_, the system still generates an empty report instead of preventing the action. The expected behavior is for the system to _display an informational message_ instructing the user to select the necessary filters before proceeding.
__Preconditions:*
* The user is logged into the ERP system with appropriate access.
* The Payment Reconciliation Report module is accessible.
__Steps to Reproduce:*
- Navigate to _Finance Module ? Reports ? Payment Reconciliation Report_.
- Do _not_ select any required filter data (e.g., Customer, Payment Date, Invoice).
- Click the _Print_ button.
- Observe that the system generates an _empty report_ instead of providing feedback.
__Expected Result:*
_ The system should _not generate an empty report*.
_ An _informational message* should be displayed:
_""Please select the required filters before printing the report.""_
__Actual Result:*
_ The system generates and prints an _empty report* without any data.
* No validation message is shown to guide the user.
__Suggested Fix:*
_ Implement _validation before printing*, preventing the action if filters are missing.
_ Display an _informational message* when the user clicks Print without selecting required filters.
* Ensure the backend does not process empty or invalid report requests.
__Severity:*
?? _Medium_ ? This issue affects report accuracy and user experience but does not cause system crashes.

### Environment
[semob83188@maonyn.com|mailto:semob83188@maonyn.com]
e01144778899A$*
[https://ibrahimmohamed.microtecdev.com:2050/erp/|https://ibrahimmohamed.microtecdev.com:2050/erp/]

Operating System: Windows 11
Browser: Chrome, Edge

### Original Issue
[View in Jira](https://microtec.atlassian.net/browse/ME-4330)

### Attachments
No Attachments"
Bug,(Sp25): Payment Reconciliation History Report Sends Invalid Request When No Customer or Invoice is Selected,Maha.muhammed,Mohamed Said,2,To Do,2025-03-11T10:12:00.000Z,2025-03-11T10:26:00.000Z,"### Description
__Title:*
Payment Reconciliation History Report Sends Invalid Request When No Customer or Invoice is Selected
__Description:*
When the user clicks the _View_ button in the _Payment Reconciliation History Report_ screen _without selecting any customer or invoice_, the system _unexpectedly sends a request_ with an invalid or unintended _customer ID_ instead of preventing the request. This behavior may lead to incorrect data retrieval or API failures. The expected behavior is for the system to _prevent the request_ and display an _informational message_ prompting the user to select a valid customer or invoice before proceeding.
__Preconditions:*
* The user is logged into the ERP system with the necessary permissions.
* The Payment Reconciliation History Report screen is accessible.
__Steps to Reproduce:*
- Navigate to _Finance Module ? Reports ? Payment Reconciliation History Report_.
- Do _not_ select any _customer or invoice_.
- Click the _View_ button.
- Open _Developer Tools (F12) ? Network Tab_.
- Observe that the system _sends an API request with an unintended or incorrect customer ID_.
__Expected Result:*
_ The system should _not send any API request* if no customer or invoice is selected.
_ An _informational message* should be displayed:
_""Please select a customer or invoice before generating the report.""_
__Actual Result:*
_ The system _sends a request with an unintended customer ID*, leading to incorrect results or API failures.
* No validation message is displayed to the user.

### Environment
[semob83188@maonyn.com|mailto:semob83188@maonyn.com]
e01144778899A$*
[https://ibrahimmohamed.microtecdev.com:2050/erp/|https://ibrahimmohamed.microtecdev.com:2050/erp/]

Operating System: Windows 11
Browser: Chrome, Edge

### Original Issue
[View in Jira](https://microtec.atlassian.net/browse/ME-4329)

### Attachments
No Attachments"
